     1.000     2.000     1.000     2.000    -0.852     0.403     6.665 51292   1172 115016
     1.000     2.000     2.000     2.000    -0.498     0.419     6.665 51293   1172 115016
     2.000     2.000     2.000     1.000    -0.581     0.415     6.665 51294   1172 115016
     2.000     2.000     2.000     3.000     0.110     0.426     6.665 51295   1172 115016
     3.000     3.000     3.000     3.000     1.380     0.574     6.665 51296   1172 115016
     3.000     2.000     3.000     2.000     0.452     0.428     6.665 51297   1172 115016
     2.000     2.000     3.000     2.000     0.161     0.426     6.665 51298   1172 115016
     0.000     1.000     0.000     1.000    -1.828     0.409     6.665 51299   1172 115016
     1.000     3.000     3.000     2.000     0.204     0.418     6.665 51300   1172 115016
     0.000     2.000     1.000     1.000    -1.295     0.398     6.665 51301   1172 115016
     3.000     3.000     3.000     3.000     1.380     0.574     6.665 51302   1172 115016
     2.000     2.000     3.000     2.000     0.161     0.426     6.665 51303   1172 115016
     0.000     2.000     1.000     3.000    -0.690     0.399     6.665 51304   1172 115016
     2.000     2.000     2.000     2.000    -0.252     0.429     6.665 51305   1172 115016
     2.000     3.000     3.000     3.000     0.935     0.492     1.386 51306   1166 115017
     2.000     2.000     2.000     2.000    -0.252     0.429     1.386 51307   1166 115017
     2.000     1.000     2.000     2.000    -0.556     0.417     1.386 51308   1166 115017
     3.000     3.000     3.000     3.000     1.380     0.574     1.386 51309   1166 115017
     2.000     3.000     2.000     2.000     0.067     0.425     1.386 51310   1166 115017
     3.000     3.000     3.000     3.000     1.380     0.574     1.386 51311   1166 115017
     2.000     3.000     3.000     3.000     0.935     0.492     1.386 51312   1166 115017
     3.000     3.000     3.000     2.000     0.799     0.452     1.386 51313   1166 115017
     2.000     2.000     2.000     2.000    -0.252     0.429     1.386 51314   1166 115017
     3.000     3.000     3.000     3.000     1.380     0.574     1.386 51315   1166 115017
     2.000     2.000     2.000     2.000    -0.252     0.429     1.386 51316   1166 115017
     2.000     3.000     2.000     2.000     0.067     0.425     1.386 51317   1166 115017
     2.000     2.000     2.000     2.000    -0.252     0.429     1.386 51318   1166 115017
     3.000     3.000     3.000     3.000     1.380     0.574     1.386 51319   1166 115017
     2.000     2.000     2.000     2.000    -0.252     0.429     1.386 51320   1166 115017
     2.000     2.000     3.000     3.000     0.538     0.445     1.386 51321   1166 115017
     2.000     3.000     2.000     2.000     0.067     0.425     1.386 51322   1166 115017
     2.000         *         *     2.000    -0.125     0.577     1.386 51323   1166 115017
     2.000     2.000     2.000     2.000    -0.252     0.429     1.386 51324   1166 115017
     3.000     3.000     3.000     3.000     1.380     0.574     1.386 51325   1166 115017
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51326   1174 115019
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51327   1174 115019
     2.000     2.000     1.000     2.000    -0.640     0.411     0.774 51328   1174 115019
     3.000     3.000     3.000     3.000     1.380     0.574     0.774 51329   1174 115019
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51330   1174 115019
     3.000     3.000     3.000     3.000     1.380     0.574     0.774 51331   1174 115019
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51332   1174 115019
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51333   1174 115019
     2.000     3.000     2.000     2.000     0.067     0.425     0.774 51334   1174 115019
     1.000     2.000         *     2.000    -0.541     0.489     0.774 51335   1174 115019
     1.000     0.000     2.000     1.000    -1.256     0.396     0.774 51336   1174 115019
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51337   1174 115019
     2.000     1.000     2.000     2.000    -0.556     0.417     0.774 51338   1174 115019
     2.000     2.000     3.000     3.000     0.538     0.445     0.774 51339   1174 115019
     2.000     2.000     1.000     2.000    -0.640     0.411     0.774 51340   1174 115019
     3.000     3.000     3.000     3.000     1.380     0.574     0.774 51341   1174 115019
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51342   1174 115019
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51343   1174 115019
     3.000     2.000     2.000     2.000     0.046     0.421     0.774 51344   1174 115019
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51345   1174 115019
     2.000     3.000     2.000     2.000     0.067     0.425     0.774 51346   1174 115019
     2.000     2.000     2.000     3.000     0.110     0.426     0.774 51347   1174 115019
     1.000     1.000     1.000     0.000    -1.575     0.395     0.774 51348   1174 115019
     1.000     2.000     2.000     2.000    -0.498     0.419     0.774 51349   1174 115019
     0.000     1.000     3.000     2.000    -0.555     0.401     0.774 51350   1174 115019
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51351   1174 115019
     1.000     1.000         *     1.000    -1.264     0.458     0.774 51352   1174 115019
     2.000     1.000     0.000     1.000    -1.442     0.397     0.774 51353   1174 115019
     2.000     3.000     2.000     2.000     0.067     0.425     0.774 51354   1174 115019
     2.000     2.000     2.000     2.000    -0.252     0.429     0.774 51355   1174 115019
     2.000     3.000     2.000     2.000     0.067     0.425     0.774 51356   1174 115019
     2.000     2.000     3.000     2.000     0.161     0.426     0.774 51357   1174 115019
     2.000     2.000     3.000     3.000     0.538     0.445     0.774 51358   1174 115019
     1.000     2.000     2.000     2.000    -0.498     0.419     0.774 51359   1174 115019
     1.000     1.000     2.000     1.000    -1.048     0.396     1.523 51360   1136 115020
     3.000     3.000     2.000     2.000     0.355     0.421     1.523 51361   1136 115020
     0.000     3.000     1.000     0.000    -1.226     0.397     1.523 51362   1136 115020
     1.000     1.000     0.000     1.000    -1.622     0.395     1.523 51363   1136 115020
     1.000     0.000     0.000     1.000    -1.844     0.405     1.523 51364   1136 115020
     2.000     1.000     1.000     1.000    -1.161     0.391     1.523 51365   1136 115020
     1.000     2.000     0.000     0.000    -1.652     0.412     1.523 51366   1136 115020
     2.000     2.000     2.000     2.000    -0.252     0.429     1.523 51367   1136 115020
     3.000     3.000     1.000     2.000    -0.066     0.403     1.523 51368   1136 115020
     2.000     2.000     2.000     2.000    -0.252     0.429     1.523 51369   1136 115020
     2.000     2.000     2.000     0.000    -0.827     0.416     1.523 51370   1136 115020
     2.000     2.000     2.000     2.000    -0.252     0.429     1.523 51371   1136 115020
     0.000     0.000     0.000         *    -2.303     0.528     1.523 51372   1136 115020
     2.000     3.000     2.000     2.000     0.067     0.425     1.523 51373   1136 115020
     3.000     3.000     3.000     2.000     0.799     0.452     1.523 51374   1136 115020
     3.000     3.000     3.000     3.000     1.380     0.574     0.672 51376   1172 115021
     3.000     3.000     3.000     3.000     1.380     0.574     0.672 51377   1172 115021
     3.000     2.000     2.000     2.000     0.046     0.421     0.672 51378   1172 115021
     2.000     3.000     3.000     3.000     0.935     0.492     0.672 51380   1172 115021
     0.000     2.000     3.000     2.000    -0.276     0.413     0.672 51381   1172 115021
     2.000     2.000     3.000     3.000     0.538     0.445     0.672 51382   1172 115021
     2.000     2.000     2.000     2.000    -0.252     0.429     0.672 51383   1172 115021
     3.000     2.000     2.000     3.000     0.400     0.424     0.672 51384   1172 115021
     2.000     3.000     2.000     2.000     0.067     0.425     0.672 51385   1172 115021
     2.000     2.000     1.000     2.000    -0.640     0.411     0.672 51386   1172 115021
     3.000     3.000     3.000     3.000     1.380     0.574     0.672 51387   1172 115021
     2.000     2.000     2.000     2.000    -0.252     0.429     0.672 51388   1172 115021
     0.000     2.000         *     0.000    -1.553     0.495     0.672 51389   1172 115021
     3.000     3.000     3.000     3.000     1.380     0.574     0.672 51390   1172 115021
     2.000     2.000     2.000     2.000    -0.252     0.429     0.672 51391   1172 115021
     3.000     2.000     2.000     3.000     0.400     0.424     0.672 51392   1172 115021
     2.000     2.000     2.000     2.000    -0.252     0.429     0.672 51393   1172 115021
